retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag
ret_isos_rpe_left	outer_retina	sys_cad_nikpay2015	-0.0522	0.0512	-1.0192	0.3081	0.7305666666666667	0.7001684210526316	919544	918593	0.1415	0.0171	8.27485380116959	0.0463	0.0041	11.292682926829267	0.0032	0.005	1.1861	0.1026	1.0191	0.0091	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_isos_rpe_left	outer_retina	sys_stroke_megastroke2018	-0.0862	0.0718	-1.2006	0.2299	0.6848390243902439	0.7001684210526316	919544	919170	0.1415	0.0171	8.27485380116959	0.0083	0.0011	7.545454545454545	0.0027	0.0055	1.1861	0.1026	1.0191	0.0091	1.1404	0.3338	1.0469	0.0068	PASS
ret_isos_rpe_left	outer_retina	sys_t2d_scott2017	-0.0289	0.0462	-0.626	0.5313	0.7876842105263158	0.7001684210526316	919544	919276	0.1415	0.0171	8.27485380116959	0.0551	0.0046	11.978260869565219	-0.009	0.005	1.1861	0.1026	1.0191	0.0091	1.2309	0.133	1.0307	0.0087	PASS
ret_isos_rpe_left	outer_retina	sys_ckd_wuttke2019	-0.081	0.066	-1.2272	0.2197	0.6848390243902439	0.7001684210526316	919544	916998	0.1415	0.0171	8.27485380116959	0.0096	0.0015	6.3999999999999995	-0.002	0.005	1.1861	0.1026	1.0191	0.0091	1.1963	0.4639	1.0911	0.0077	PASS
ret_isos_rpe_left	outer_retina	sys_ad_kunkle2019	-0.1087	0.0856	-1.2699	0.2041	0.6848390243902439	0.7001684210526316	919544	919270	0.1415	0.0171	8.27485380116959	0.0553	0.0099	5.585858585858586	0.0067	0.0052	1.1861	0.1026	1.0191	0.0091	1.1182	0.3241	1.0383	0.0076	PASS
ret_isos_rpe_left	outer_retina	sys_pd_nalls2019_clinical	0.1231	0.061	2.0175	0.0436	0.34880000000000005	0.3856	919544	918811	0.1415	0.0171	8.27485380116959	0.164	0.018	9.111111111111112	-0.0044	0.0048	1.1861	0.1026	1.0191	0.0091	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_isos_rpe_left	outer_retina	sys_sle_bentham2015	-0.0307	0.0696	-0.4421	0.6584	0.8575813953488371	0.7891428571428571	919544	819644	0.1415	0.0171	8.27485380116959	0.3707	0.0653	5.67687595712098	-0.005	0.0055	1.1861	0.1026	1.0191	0.0091	1.3539	0.6219	1.2201	0.0089	PASS
ret_isos_rpe_left	outer_retina	sys_ibd_delange2017	0.0302	0.0496	0.6098	0.542	0.7883636363636365	0.7001684210526316	919544	892922	0.1415	0.0171	8.27485380116959	0.2137	0.0228	9.37280701754386	0.0005	0.0058	1.1861	0.1026	1.0191	0.0091	1.4985	0.3731	1.186	0.0105	PASS
ret_macular_total_left	outer_retina	sys_cad_nikpay2015	0.0107	0.0419	0.2565	0.7975	0.9382333333333334	0.8592000000000001	919544	918593	0.2346	0.0229	10.244541484716157	0.0463	0.0041	11.292682926829267	-0.0036	0.0053	1.3248	0.161	1.0523	0.0107	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_macular_total_left	outer_retina	sys_stroke_megastroke2018	0.0674	0.0574	1.1748	0.2401	0.6848390243902439	0.7001684210526316	919544	919170	0.2346	0.0229	10.244541484716157	0.0083	0.0011	7.545454545454545	-0.011	0.0049	1.3248	0.161	1.0523	0.0107	1.1404	0.3338	1.0469	0.0068	PASS
ret_macular_total_left	outer_retina	sys_t2d_scott2017	-0.0406	0.0454	-0.895	0.3708	0.7690666666666667	0.7001684210526316	919544	919276	0.2346	0.0229	10.244541484716157	0.0551	0.0046	11.978260869565219	-0.0109	0.0055	1.3248	0.161	1.0523	0.0107	1.2309	0.133	1.0307	0.0087	PASS
ret_macular_total_left	outer_retina	sys_ckd_wuttke2019	-0.1222	0.0618	-1.9756	0.0482	0.3528	0.3856	919544	916999	0.2346	0.0229	10.244541484716157	0.0096	0.0015	6.3999999999999995	-4.9492e-05	0.0055	1.3248	0.161	1.0523	0.0107	1.1963	0.4639	1.0911	0.0077	PASS
ret_macular_total_left	outer_retina	sys_ad_kunkle2019	-0.0704	0.0769	-0.9154	0.36	0.7607547169811321	0.7001684210526316	919544	919270	0.2346	0.0229	10.244541484716157	0.0553	0.0099	5.585858585858586	0.0065	0.0052	1.3248	0.161	1.0523	0.0107	1.1182	0.3241	1.0383	0.0076	PASS
ret_macular_total_left	outer_retina	sys_pd_nalls2019_clinical	-0.0596	0.0564	-1.0578	0.2901	0.7063304347826088	0.7001684210526316	919544	918811	0.2346	0.0229	10.244541484716157	0.164	0.018	9.111111111111112	0.0101	0.0058	1.3248	0.161	1.0523	0.0107	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_macular_total_left	outer_retina	sys_sle_bentham2015	0.0023	0.0848	0.0271	0.9784	0.9872144144144145	0.9784	919544	819644	0.2346	0.0229	10.244541484716157	0.3707	0.0653	5.67687595712098	0.0007	0.0073	1.3248	0.161	1.0523	0.0107	1.3539	0.6219	1.2201	0.0089	PASS
ret_macular_total_left	outer_retina	sys_ibd_delange2017	-0.0232	0.0393	-0.5913	0.5543	0.7959179487179487	0.7001684210526316	919544	892923	0.2346	0.0229	10.244541484716157	0.2137	0.0228	9.37280701754386	0.0007	0.0053	1.3248	0.161	1.0523	0.0107	1.4985	0.3731	1.186	0.0105	PASS
ret_art_tort	microvasculature	sys_cad_nikpay2015	-0.0455	0.0451	-1.0088	0.3131	0.7305666666666667	0.6493925925925926	1143633	1141327	0.1718	0.0201	8.54726368159204	0.0463	0.0041	11.292682926829267	-0.0006	0.0056	1.3363	0.1747	1.0588	0.0104	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_art_tort	microvasculature	sys_stroke_megastroke2018	-0.0255	0.0578	-0.442	0.6585	0.8575813953488371	0.8575813953488371	1143633	1140170	0.1718	0.0201	8.54726368159204	0.0083	0.0011	7.545454545454545	0.0012	0.0052	1.3363	0.1747	1.0588	0.0104	1.1404	0.3338	1.0469	0.0068	PASS
ret_art_tort	microvasculature	sys_t2d_scott2017	-0.0141	0.0421	-0.3351	0.7375	0.9020215053763442	0.8737166666666667	1143633	1142737	0.1718	0.0201	8.54726368159204	0.0551	0.0046	11.978260869565219	-0.0081	0.0055	1.3363	0.1747	1.0588	0.0104	1.2309	0.133	1.0307	0.0087	PASS
ret_art_tort	microvasculature	sys_ckd_wuttke2019	-0.0695	0.056	-1.2419	0.2143	0.6848390243902439	0.5399692307692308	1143633	1139729	0.1718	0.0201	8.54726368159204	0.0096	0.0015	6.3999999999999995	0.0049	0.0048	1.3363	0.1747	1.0588	0.0104	1.1963	0.4639	1.0911	0.0077	PASS
ret_art_tort	microvasculature	sys_ad_kunkle2019	-0.0126	0.0715	-0.1764	0.86	0.944313725490196	0.9261538461538461	1143633	1142825	0.1718	0.0201	8.54726368159204	0.0553	0.0099	5.585858585858586	-0.0013	0.0052	1.3363	0.1747	1.0588	0.0104	1.1182	0.3241	1.0383	0.0076	PASS
ret_art_tort	microvasculature	sys_pd_nalls2019_clinical	-0.0586	0.0486	-1.2068	0.2275	0.6848390243902439	0.5399692307692308	1143633	1143461	0.1718	0.0201	8.54726368159204	0.164	0.018	9.111111111111112	0.0037	0.005	1.3363	0.1747	1.0588	0.0104	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_art_tort	microvasculature	sys_sle_bentham2015	-0.0131	0.0676	-0.1939	0.8462	0.9402455445544554	0.9261538461538461	1143633	1018519	0.1718	0.0201	8.54726368159204	0.3707	0.0653	5.67687595712098	0.0097	0.0058	1.3363	0.1747	1.0588	0.0104	1.3539	0.6219	1.2201	0.0089	PASS
ret_art_tort	microvasculature	sys_ibd_delange2017	-0.0453	0.0395	-1.1486	0.2507	0.6848390243902439	0.5399692307692308	1143633	1121747	0.1718	0.0201	8.54726368159204	0.2137	0.0228	9.37280701754386	0.0071	0.0056	1.3363	0.1747	1.0588	0.0104	1.4985	0.3731	1.186	0.0105	PASS
ret_ven_tort	microvasculature	sys_cad_nikpay2015	-0.0261	0.0455	-0.5737	0.5662	0.8027139240506329	0.7961560975609755	1143642	1141336	0.1	0.0201	4.975124378109453	0.0463	0.0041	11.292682926829267	-0.0018	0.0044	1.1803	0.1038	1.0187	0.0074	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_ven_tort	microvasculature	sys_stroke_megastroke2018	-0.0467	0.0723	-0.6458	0.5184	0.7876842105263158	0.7639578947368421	1143642	1140179	0.1	0.0201	4.975124378109453	0.0083	0.0011	7.545454545454545	-0.0011	0.0046	1.1803	0.1038	1.0187	0.0074	1.1404	0.3338	1.0469	0.0068	PASS
ret_ven_tort	microvasculature	sys_t2d_scott2017	-0.0758	0.0497	-1.5238	0.1276	0.571648	0.39697777777777776	1143642	1142746	0.1	0.0201	4.975124378109453	0.0551	0.0046	11.978260869565219	-0.0029	0.0047	1.1803	0.1038	1.0187	0.0074	1.2309	0.133	1.0307	0.0087	PASS
ret_ven_tort	microvasculature	sys_ckd_wuttke2019	-0.1516	0.0734	-2.0659	0.0388	0.3428923076923077	0.22288000000000002	1143642	1139744	0.1	0.0201	4.975124378109453	0.0096	0.0015	6.3999999999999995	0.0011	0.0049	1.1803	0.1038	1.0187	0.0074	1.1963	0.4639	1.0911	0.0077	PASS
ret_ven_tort	microvasculature	sys_ad_kunkle2019	-0.153	0.0782	-1.9564	0.0504	0.3528	0.2565818181818182	1143642	1142834	0.1	0.0201	4.975124378109453	0.0553	0.0099	5.585858585858586	0.0017	0.0043	1.1803	0.1038	1.0187	0.0074	1.1182	0.3241	1.0383	0.0076	PASS
ret_ven_tort	microvasculature	sys_pd_nalls2019_clinical	0.08	0.0465	1.7218	0.0851	0.5016421052631579	0.3404	1143642	1143466	0.1	0.0201	4.975124378109453	0.164	0.018	9.111111111111112	-0.0041	0.0041	1.1803	0.1038	1.0187	0.0074	1.0897	nan	0.988	0.0059	RATIO_NEGATIVE
ret_ven_tort	microvasculature	sys_sle_bentham2015	-0.1058	0.067	-1.5792	0.1143	0.5646666666666667	0.39697777777777776	1143642	1018529	0.1	0.0201	4.975124378109453	0.3707	0.0653	5.67687595712098	0.005	0.005	1.1803	0.1038	1.0187	0.0074	1.3539	0.6219	1.2201	0.0089	PASS
ret_ven_tort	microvasculature	sys_ibd_delange2017	0.0519	0.0382	1.3594	0.174	0.6848390243902439	0.48719999999999997	1143642	1121754	0.1	0.0201	4.975124378109453	0.2137	0.0228	9.37280701754386	-0.0012	0.0046	1.1803	0.1038	1.0187	0.0074	1.4985	0.3731	1.186	0.0105	PASS
ret_crae	microvasculature	sys_cad_nikpay2015	-0.054	0.0576	-0.9375	0.3485	0.7506153846153846	0.6729655172413792	1143623	1141316	0.0641	0.0074	8.662162162162163	0.0463	0.0041	11.292682926829267	0.0083	0.0041	1.0899	nan	0.9856	0.0065	1.1261	nan	0.9219	0.0079	RATIO_NEGATIVE
ret_crae	microvasculature	sys_stroke_megastroke2018	0.0053	0.087	0.0604	0.9518	0.9872144144144145	0.9708363636363636	1143623	1140160	0.0641	0.0074	8.662162162162163	0.0083	0.0011	7.545454545454545	0.0109	0.0045	1.0899	nan	0.9856	0.0065	1.1404	0.3338	1.0469	0.0068	RATIO_NEGATIVE
ret_crae	microvasculature	sys_t2d_scott2017	0.0253	0.052	0.4862	0.6268	0.8357333333333333	0.8357333333333333	1143623	1142727	0.0641	0.0074	8.662162162162163	0.0551	0.0046	11.978260869565219	0.0065	0.0042	1.0899	nan	0.9856	0.0065	1.2309	0.133	1.0307	0.0087	RATIO_NEGATIVE
