pair_id	direction	n_iv_final	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	loo_status	loo_beta_min	loo_beta_max	presso_status	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome
ret_rnfl_left__sys_sle_bentham2015	ret_rnfl_left_to_sys_sle_bentham2015	15	28.128151701547115	0.0136808119111608	-0.0104117828059589	0.4102172075828183	0.1388120003245944	0.3285031076988864	0.1214367262522868	0.3926483762974537	COMPUTED	0.0106695783441055	0.192987961081136	COMPUTED_NO_OUTLIER	True	0.1074104141840621	0.0172663091722062	0.013433535176898
ret_rnfl_left__sys_sle_bentham2015	sys_sle_bentham2015_to_ret_rnfl_left	28	32.7222959097767	0.2063890971615951	-0.001957180909799	0.2892984802665456	-0.0074910961014047	0.0805393713489546	-0.0055478405007636	0.1955854863668833	COMPUTED	-0.0082084513132331	-0.0049504603875842	COMPUTED_NO_OUTLIER	True	0.0	0.999998000001	0.0007533350451184
ret_rnfl_left__sys_ibd_delange2017	ret_rnfl_left_to_sys_ibd_delange2017	13	17.029860628053292	0.1484775013569531	0.0020133594529618	0.729862869612422	0.0046550492155078	0.9507117341943132	-0.0264948149976342	0.7249756532481857	COMPUTED	0.0132126637243765	0.1048336080402153	COMPUTED_NO_OUTLIER	True	1.3698251004529643e-38	0.014198208907425	0.0016588889313351
ret_rnfl_left__sys_ibd_delange2017	sys_ibd_delange2017_to_ret_rnfl_left	90	90.47407896805632	0.4365154487755883	0.0007720595746159	0.3342118512066689	0.0043374523506988	0.4892591311210266	0.002854428328001	0.6490659236133783	COMPUTED	0.002913830646738	0.0067312404658359	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_gcipl_left__sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	30	27.363985549531044	0.5520741825727349	0.0011166108391545	0.6011593249956295	-0.0514877145091191	0.1698724964834992	-0.0793775904171742	0.0343336466657765	COMPUTED	-0.0646953638390688	-0.0382296669830537	COMPUTED_NO_OUTLIER	True	1.6773929356519331e-192	0.0356249528209829	0.0016255983732292
ret_gcipl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_gcipl_left	30	45.94546631997098	0.0237594757764316	0.0018657040791614	0.3498492009513142	-0.0507039049286815	0.0003033873962489	-0.0491094612639536	0.0004673666148778	COMPUTED	-0.022125988758419	-0.0072989993010404	COMPUTED_NO_OUTLIER	True	0.0	0.0961566686599282	0.0011361558628485
ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	29	23.00706566033949	0.7326866760709785	0.0015590402050294	0.4738422556366879	-0.0302912809576891	0.4435407510016672	-0.0110964400870201	0.7789496589447399	COMPUTED	0.0131867086423471	0.0413104866115545	COMPUTED_NO_OUTLIER	True	7.770287329582401e-184	0.0349234022865753	0.0013587932094953
ret_gcipl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_gcipl_left	7	2.7248933407305613	0.8424982449095593	-0.0188609953478307	0.2484840167757711	0.077198916967509	0.0533427088758573	0.0982127395924408	0.0139685750472055	COMPUTED	0.0401780659382483	0.0708105120401595	COMPUTED_NO_OUTLIER	True	1.0451272220319264e-85	0.0126013954123037	9.065819180504523e-05
ret_gcipl_left__sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	24	28.28839613774152	0.2050720701360383	-0.0005301786549786	0.8853083206398119	0.104042525017498	0.0559732243130594	0.1018039015769722	0.0614670287407836	COMPUTED	0.0420348504771521	0.0797137339989946	COMPUTED_NO_OUTLIER	True	5.242857510987743e-90	0.0272716760061017	0.0029683730976235
ret_gcipl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_gcipl_left	28	54.513801292986585	0.0013158269275453	0.0014061607801336	0.4856688421817582	-0.0360795294117647	0.0029031940362877	-0.0337604007625888	0.0053297364622315	COMPUTED	-0.0156176118792012	-0.0024977537763141	COMPUTED_NO_OUTLIER	NA	NA	NA	NA
ret_gcipl_left__sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	31	21.669404548211805	0.8657966772183425	0.0021158436426386	0.2281581029517776	-0.0034914209967075	0.9188351459693772	0.0104428887023674	0.7605278333383738	COMPUTED	-0.0400249676592824	-0.0146774699108216	COMPUTED_NO_OUTLIER	True	6.894901231387762e-236	0.0400817812719547	0.001185047896362
ret_gcipl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_gcipl_left	16	24.30637586572192	0.0600700112564968	0.0015336200559471	0.5849054458568583	0.0140597228430934	0.4777278027420295	0.0358921876683879	0.0699217577156909	COMPUTED	-0.0035851298035174	0.0205866702528339	COMPUTED_NO_OUTLIER	True	0.0	0.050369252914	0.0004842361864844
ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left_to_sys_ad_kunkle2019	30	32.50492492204309	0.2981532717307413	-0.0001774209043088	0.9597188458818536	0.0728000728000728	0.1931075530924528	0.0334193560717002	0.5502169173615337	COMPUTED	0.0678063459795926	0.1204745313241869	COMPUTED_NO_OUTLIER	True	1.1842760932126801e-96	0.0356249528209829	0.0040752928403374
ret_gcipl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_gcipl_left	18	18.73696089439944	0.3438376295671614	-0.0009354931819504	0.6394066481852883	-0.0065979902620946	0.3839245828551374	-0.006262665975332	0.4085558761278037	COMPUTED	-0.0034044345928874	0.0096717602763232	COMPUTED_NO_OUTLIER	True	0.0	0.3346634975276982	0.0004024580443191
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left_to_sys_pd_nalls2019_clinical	26	35.470749024448196	0.0800229465745405	0.0092790226724458	0.1735335933286468	-0.115677260443363	0.1859882260797607	-0.0978614977787182	0.2632030551830299	COMPUTED	0.0071287423076246	0.1105306693856585	COMPUTED_NO_OUTLIER	True	3.7398933430153005e-20	0.0325868936630044	0.0127980338415855
ret_gcipl_left__sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_gcipl_left	10	33.21481354619555	0.0001225248545537	-0.001741202353039	0.7580964773359776	0.0269052390057361	0.0481695797262275	0.0163122123805155	0.2309412735976085	COMPUTED	-0.0124874140667072	0.0245309220654849	COMPUTED_NO_OUTLIER	True	0.0	0.1236095278382324	0.0008329103980367
ret_gcipl_left__sys_sle_bentham2015	ret_gcipl_left_to_sys_sle_bentham2015	27	46.9918828665093	0.007050842621939	0.0014111263864761	0.8896875537586039	0.0602816534990554	0.58142785327885	0.0885909591360385	0.4178250082647006	COMPUTED	0.1311934529452867	0.2854438311358537	COMPUTED_NO_OUTLIER	True	0.1163493880444533	0.0315424764795747	0.0264727449399059
